Company,Product categories,Company description,Page_URL
Advanced Technology International,SHOT -  Firearm Grips/Stocks,"ATI Outdoors is the premier manufacturer of leading-edge rifle stocks, shotgun stocks and accessories for a wide variety of firearms. Well-known to collectors, hunting enthusiasts, members of the military and law enforcement communities, ATI Outdoors has a long and proud tradition of total commitment to top-quality, excellent customer care and affordable prices. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=39
"Advanced Textiles Association, Military Division",Supplier -  FabricsSupplier -  Fabrication,"The Military Division of ATA (MIL) provides its members networking opportunities, education, trade advocacy and specification information. It is engineered for those who do business with or in domestic or international military textiles markets, including government contractors. The Military Division provides a network to exchange information, solve common problems and develop mutually beneficial relationships. MIL is a division of the Advanced Textiles Association (ATA), a trade association comprised of member companies representing the global specialty fabrics and advanced textiles marketpl (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3081
"Advantage Label & Packaging, Inc.",Supplier -  OE materialsSupplier -  PackagingSupplier -  ServicesSupplier -  Software,"Advantage Label & Packaging, Inc. is a custom label manufacturer that offers solutions for durable identification requirements serving the Body Armor and Outdoor Recreational markets. Our labels include ""UltimateBond"", ""PermaBond"" & ""BallisticBond"" aggressive adhesives, Sewable Reemay and Heat Seal industry compliant labeling materials. We provide Printers and Software to incorporate variable information including Barcodes, Serialization, Date Codes, and Sizes on labels. Advantage Label & Pkg.manufactures National Institute of Justice NIJ.06 and Department of Defense - Berry Amendment labels. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1736
Adventure Tactical,"SHOT - Lighting Products
SHOT - Training and Safety Equipment
SHOT - Custom Manufacturing
SHOT - Law Enforcement Products/Services
SHOT - Pet Supplies/Training Equipment
SHOT","Adventure Tactical manufactures a wide range of visual and IR portable lights because positive visual ID is vital. Our products include remote controls and interactive/programmable lights that are in use in over 24 countries. We pride ourselves on manufacturing in-house with integrated feedback from our clients. This has led to many of our innovations, such as AutoSync™ group flashing and Mockingbird® programmable signatures. For IR beacons, beach head, tactical military and law enforcement safety, our lights are ideal. They are also superior in friend or foe ID, CSAR, SERE and SAR operations. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=41
Aero Precision,SHOT -  Firearm Grips/StocksSHOT -  Hearing ProtectionSHOT -  Recoil Protection Devices/ServicesSHOT -  FirearmsSupplier -  MachinerySHOT -  Law Enforcement Products/Services,"Aero Precision is a key industry supplier of AR lower receivers, upper receivers and components. Our extensive manufacturing experience has made us known for two things: superior engineering and machining and the ability to get the customer what they need when they need it. Our products are recognized across the country by members of the military and law enforcement communities for a simple fact-they work better. Our goal is simple: technical perfection. Aero Precision’s roots are deeply tied to aerospace, and our drive for clean, perfect engineering and machining stems from that. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=43
AeroVironment Company,SHOT -  Law Enforcement Products/Services,"AeroVironment’s Unmanned Ground Vehicles safely and effectively perform a variety of dangerous missions, including explosive ordinance disposal (EOD), hazardous materials handling (HAZMAT) and chemical, biological, radiological and nuclear (CBRN) threat assessment. AeroVironment’s ruggedized UGVs feature all-terrain capabilities and offer specialized, precision manipulators, autonomous functionality and intuitive operation to deliver a high degree of mission flexibility. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1427
AETCO INDUSTRIES,SHOT -  FootwearSHOT -  HolstersSHOT -  Hearing Protection,"We are a manufacturer of police and public safety equipment. Our product line includes police batons, premium leather goods, restraints, riot batons, polycarbonate riot shields, ballistic helmets, and related accessories. We are also a stocking distributor of police duty gear, including firearms optics, flashlights, and related police products. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=44
AG Composites LLC,SHOT -  Firearm Cabinets/Racks/SafesSHOT -  Communications/Electronics/GPSSHOT -  Outfitters,"We are experts in designing and manufacturing carbon fiber and fiberglass components. We currently make aftermarket rifles stocks for the Remington 700, Rem 700 clones and Tikka T3. In addition, we manufacture OEM stocks for rifle companies such as Springfield Armory, Wilson Combat, Bergara and many more. Whether you are a consumer looking for a stock or a manufacturer looking for someone to make your stocks, we are the right company. Made in America by military vets! (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=45
AgeChecker.Net,SHOT -  Retailer ServicesSupplier -  Software,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3565
Agency Arms,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3986
Agescan International – Non-Toxic Solutions,Supplier -  MachiningSupplier -  FabricationSupplier -  Metal extrusionsSupplier -  Metals,"AGESCAN is a global leading tungsten and bismuth material supplier with production facility in Asia. With focus on non-toxic ammo material for firearms industry, the plant has truly achieved prestigious reputation with manufacturing integrity and excellence. By adopting ASTM B777 and ASTM B774, ISO 9001:2015 standards, following with military-level process, We produce Tungsten Super Shot (""TSS"") from #12 to 0000 with density 11 -18, and Hi Tensile bismuth shot #7 to #2 with high sphericity, from powder screening to final grinding with each lot traceability to achieve premium quality. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1738
AGF Defcom Inc.,Supplier -  Machinery,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1739
AGI/American Gunsmithing Institute,SHOT -  Gunsmith ToolsSHOT -  Firearm Barrels/Parts/GunsmithingSHOT -  Firearms Maintenance/Cleaning Equipment,"American Gunsmithing Institute offers complete distance education, Certified Professional Gunsmithing courses and a variety of affordable video-based gunsmithing courses that can be viewed online and offline in the comfort of one’s home and at one’s leisure. Unlike traditional schooling, our courses are 100% instruction without wasted time and can be reviewed when needed. AGI has been training gunsmiths for 30 years. Our instructors are all working Master Gunsmiths with 400 years of combined experience who provide our students with the highest quality instruction available. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=77
Agilite,"SHOT -  Retailer ServicesSHOT -  Association/Agencies/Wildlife Mgmt.SHOT -  Hearing ProtectionSHOT -  Apparel, Men'sSHOT -  Communications/Electronics/GPSSHOT -  Shooting Range Equipment","Agilite is Israel’s premier tactical gear brand. Agilite designs and manufactures premium equipment solutions for SOF and LE units worldwide, specializing in battle-tested helmet covers and solutions and ergonomic, lightweight gear for the modern warfighter. Agilite is also a B2B service provider to helmet and other companies requiring high-end design and manufacturing solutions based on in-depth knowledge of end-user group considerations. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1379
AGM Global Vision,SHOT -  Binoculars/TelescopesSHOT -  Cameras/EquipmentSHOT -  Communications/Electronics/GPSSHOT -  Hunting Gear/AccessoriesSHOT -  Law Enforcement Products/ServicesSHOT -  Retailer Services,"AGM Global Vision is one of the fastest growing brands in the thermal/night vision category. Founded by industry veterans in 2019 with over 65 years of combined experience – AGM offers a broad selection of night vision and thermal optics, riflescopes, monoculars, clip-on devices, and helmet mounted applications and more. Recognized and respected by professionals and enthusiasts, proudly manufactured in Springerville Arizona USA. Made with durable and dependable materials to meet and exceed the needs of military, law enforcement, recreational shooters and hunters around the world. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=46
Aguila Ammunition USA/TxAT,SHOT -  AmmunitionSHOT -  Hearing ProtectionSHOT -  Firearm Grips/StocksSHOT -  Shooting Range EquipmentSHOT -  Lighting ProductsSHOT -  Game Calls,"Aguila Ammunition, founded in 1961, is one of the largest rimfire manufacturers in the world. Aguila offers a complete range of products for the self-defense, sport shooting, hunting, law enforcement and military markets. Aguila utilizes cutting-edge technology to manufacture quality rimfire, centerfire, and shotshell ammunition. We’re proud to offer a wide array of high- performance ammo engineered for optimal reliability, accuracy and performance. TXAT LLC is the exclusive North American distributor for Aguila Ammunition.
  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1501
AIM by Tri-Tech,"SHOT - Recoil Protection Devices/Services
SHOT","AIM is a comprehensive point-of-sale software solution designed specifically for firearm retailers and ranges. It seamlessly integrates an array of features to enhance compliance and streamline operations, empowering you to deliver exceptional customer satisfaction. AIM's integrated A&D book, 4473 form integration, and Smartwaiver functionality ensure compliance with ATF regulations. Maintain a detailed customer database, including contact information, purchase history, and range memberships, to foster personalized interactions and targeted marketing campaigns. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1483
